Microbe,RF_Importance,PDP_Trend_Score,Enriched_In
msp_0162,0.05745440666135723,-0.09485494582313858,Non-Western
msp_1060c,0.05210081174836248,0.087091925900035,Western
msp_0030,0.046763801318412665,-0.0558394500757311,Non-Western
msp_0291,0.039533605605559456,0.07243970639636477,Western
msp_0464,0.03156849386932456,-0.05225911685890705,Non-Western
msp_0478,0.03117625484264209,0.043622276593265896,Western
msp_0340,0.023964756169317404,0.03253524408714914,Western
msp_0005,0.023583780587036064,-0.05156355586624717,Non-Western
msp_0224,0.02345841867587989,-0.04207619713386934,Non-Western
msp_0632,0.021332955107015217,0.06707211930560408,Western
msp_0977,0.01849912518475534,0.03289292788069442,Western
msp_0041,0.01845642044658057,-0.029811254806011878,Non-Western
msp_0339,0.017241659922694358,-0.046195968775486373,Non-Western
msp_0134,0.01684381059665485,-0.03369800768961906,Non-Western
msp_0275,0.016086861642875327,-0.04164511243155078,Non-Western
msp_0296,0.014100836704796242,0.02910404287545154,Western
msp_0597,0.012926775458291953,-0.03847838751019439,Non-Western
msp_0239,0.012789433845053875,-0.031077711755796322,Non-Western
msp_0345,0.012636175929635484,-0.029289292788069465,Non-Western
msp_0656,0.012612493128498445,-0.03299545613421884,Non-Western
