Microbe,Coefficient,Abs_Coef,Enriched_In
msp_0291,1.0870541026750342,1.0870541026750342,Western
msp_0084,-0.8379357677270018,0.8379357677270018,Non-Western
msp_0833,0.7906760557211188,0.7906760557211188,Western
msp_1060c,0.6796641428349292,0.6796641428349292,Western
msp_0197,-0.6418364358307087,0.6418364358307087,Non-Western
msp_0665,0.63738467011421,0.63738467011421,Western
msp_1403,0.6268400284263922,0.6268400284263922,Western
msp_0464,-0.6032995768247391,0.6032995768247391,Non-Western
msp_0808,0.5900365162172169,0.5900365162172169,Western
msp_0162,-0.5309437461188407,0.5309437461188407,Non-Western
msp_0639,0.519000627310627,0.519000627310627,Western
msp_0076,0.47737769114123607,0.47737769114123607,Western
msp_0340,0.46869768675143963,0.46869768675143963,Western
msp_0019,0.4652187871842107,0.4652187871842107,Western
msp_0005,-0.4549825075518162,0.4549825075518162,Non-Western
msp_0134,-0.45132703275028213,0.45132703275028213,Non-Western
msp_1094,0.44269705558701505,0.44269705558701505,Western
msp_0054,-0.4404642615552544,0.4404642615552544,Non-Western
msp_0170,0.43915058574854154,0.43915058574854154,Western
msp_0221,0.43545176416774756,0.43545176416774756,Western
